"dt_notificacao","ano_notificacao","mes_notificacao","qntd_casos","qntd_hospitalizacao","qntd_resultado_soro","qntd_resultado_ns1","qntd_resultado_pcr","qntd_auctone","qntd_febre","qntd_vomito","qntd_nausea","qntd_sangramento","precipitacao_total_mensal","temp_media_mensal","vento_vlc_media_mensal"
"2016-09-01","2016","9","3617","170","101","35","0","248","2741","821","1088","0","0.03392482833393567040","20.7195124593716143","2.1343734200072228"
"2016-10-01","2016","10","5462","222","127","53","1","320","4194","1238","1583","0","0.13353173680539409440","22.3460427807486631","2.3739000984251969"
"2016-11-01","2016","11","7597","271","200","123","7","401","5855","1580","2048","0","0.17924601829888173501","22.5280210098271772","2.2318806346916697"
"2016-12-01","2016","12","7603","268","188","94","1","424","5948","1567","2144","0","0.21985211033565968760","23.8722297858210194","2.0334182776801406"
"2017-01-01","2017","1","9522","411","277","114","3","464","7562","2160","2965","0","0.39874586033117350612","23.8263045928430544","1.5907044364508393"
"2017-02-01","2017","2","10496","403","286","168","7","531","8525","2399","3329","0","0.12701765138514341750","25.5805553534618649","1.8526127286781757"
"2017-03-01","2017","3","11728","461","382","215","3","652","9557","2640","3594","0","0.24312089136490250696","23.6848119504184765","1.8714425427872861"
"2017-04-01","2017","4","6871","314","331","156","8","490","5720","1549","2130","0","0.15365902474526928675","21.8060509894811909","1.8796652487516183"
"2017-05-01","2017","5","5017","241","247","117","6","376","4148","1078","1576","0","0.16852450980392156863","20.3607602755999050","1.5324661580113217"
"2017-06-01","2017","6","3200","194","157","44","2","188","2654","692","1007","0","0.06247648902821316614","18.3652237654320988","1.5905560000000000"
"2017-07-01","2017","7","1995","153","129","28","1","144","1629","456","604","0","0.00337408312958435208","17.4366809290953545","1.9763094483195942"
"2017-08-01","2017","8","2509","144","146","44","0","177","2068","560","792","0","0.07914319952067106052","19.8158854667949952","2.1770104115022310"
"2017-09-01","2017","9","4827","266","324","39","3","323","4032","1090","1611","0","0.03668577124345875903","23.6530574826560951","2.2553522931078657"
"2017-10-01","2017","10","6987","294","474","53","1","482","5794","1639","2300","0","0.17056340368954628552","23.4092089650626236","2.3201126664390577"
"2017-11-01","2017","11","5896","247","444","49","1","430","4888","1372","2067","0","0.25096084698361965641","22.6353829704510109","2.2992963709677419"
"2017-12-01","2017","12","5728","247","421","56","3","397","4673","1356","2047","0","0.27512908777969018933","23.9514501116902457","1.8810995570960909"
"2018-01-01","2018","1","7394","514","550","77","3","526","5933","1955","2819","0","0.35602582728006456820","23.6647917981072555","1.7721978926572275"
"2018-02-01","2018","2","6869","420","527","106","17","734","5554","1791","2537","0","0.20356174842527199847","23.6066513543481704","1.8213124484748557"
"2018-03-01","2018","3","7733","439","872","161","45","1239","6370","1985","2819","0","0.21778659726740403383","24.7378019981834696","1.5176961045891142"
"2018-04-01","2018","4","7198","351","1245","266","51","1542","5904","1746","2735","0","0.05014131803553938716","22.1766727298167063","1.5793010520247874"
"2018-05-01","2018","5","6396","310","1430","253","36","1632","5278","1521","2466","0","0.02829137822529893014","20.0752061044682190","1.6291929768041237"
"2018-06-01","2018","6","4015","209","680","85","17","733","3343","953","1535","0","0.01874216988223502881","19.9286845402154848","1.5315724878547686"
"2018-07-01","2018","7","2850","163","462","46","12","439","2396","618","1038","0","0.01261588214157384118","19.7557007042253521","1.5755935251798561"
"2018-08-01","2018","8","2578","173","347","21","6","321","2078","580","924","0","0.07751529987760097919","18.9532215288611544","2.0501198083067093"
"2018-09-01","2018","9","2633","175","106","18","4","163","2185","675","975","0","0.12739976181024215959","21.3961953629798556","2.0918504387638306"
"2018-10-01","2018","10","4018","230","202","39","17","330","3332","992","1388","0","0.23792061907139291063","22.7329480778831752","2.1302690470203671"
"2018-11-01","2018","11","5399","250","603","66","50","690","4439","1244","2000","0","0.27962242562929061785","23.1320504731861199","2.3694681259600614"
"2018-12-01","2018","12","8902","389","1554","203","100","2416","7376","2093","3462","0","0.17033111085998417900","25.0357400518543569","1.7851947751705005"
"2019-01-01","2019","1","30034","960","8102","1259","550","15511","23482","6910","11944","0","0.14358801874163319946","24.6943309906291834","1.2467416331994645"
"2019-02-01","2019","2","67710","1791","14199","3268","560","35657","50995","14945","28192","0","0.28347223462855441417","22.7443221676343606","1.3991738871520024"
"2019-03-01","2019","3","100194","2244","18566","5884","272","48969","75315","21618","41011","0","0.16669235257429129026","22.9285783554312617","1.3844001368126672"
"2019-04-01","2019","4","159257","3110","29565","9833","305","84446","124357","33779","63939","0","0.14439381276196988692","23.0519075206726690","1.3187234864313845"
"2019-05-01","2019","5","166347","3379","33114","10171","175","87722","132396","34019","64018","0","0.06200492168937593949","20.0454679847742811","1.2671048707753479"
"2019-06-01","2019","6","62710","1450","12171","2798","67","29829","49742","12454","23103","0","0.03431996540568243698","17.9449031038790480","1.2930193151606394"
"2019-07-01","2019","7","22532","631","3934","889","29","9098","17312","4225","7671","0","0.06094265932895437600","16.5060189952068170","1.4548739570388780"
"2019-08-01","2019","8","10307","308","1368","251","17","3032","8204","2073","3353","0","0.03039099641020665567","15.6446948675657320","1.56383234694867565732"
"2019-09-01","2019","9","9194","318","1275","248","10","1895","7417","1866","2819","0","0.06835762453774200566","18.3792930171851207","1.6793115075048945"
"2019-10-01","2019","10","10452","326","1193","213","2","2146","8511","2253","3366","0","0.07169249904324531190","21.9601310753922694","1.84852085725220053578"
"2019-11-01","2019","11","11336","363","1515","265","4","3128","9038","2445","3837","0","0.19990561044460127029","22.4919195483415667","1.9066504940014114"
"2019-12-01","2019","12","15015","494","2843","455","18","5581","11924","3075","5404","0","0.23313020313020313020","21.5514545454545455","1.3855477855477855"
"2020-01-01","2020","1","52406","1537","13824","3675","230","26101","41369","11160","21663","0","0.28573789260771667366","21.4881131931458230","1.3701829943136282"
"2020-02-01","2020","2","94103","2167","20679","7039","452","45527","72766","19389","38461","0","0.36079806169835180600","21.6424626207453535","1.4256684696555902"
