"dt_notificacao","ano_notificacao","mes_notificacao","qntd_casos","qntd_hospitalizacao","qntd_resultado_soro","qntd_resultado_ns1","qntd_resultado_pcr","qntd_auctone","qntd_febre","qntd_vomito","qntd_nausea","qntd_sangramento","precipitacao_total_mensal","temp_media_mensal","vento_vlc_media_mensal"
"2015-03-01","2015","3","322982","4677","71630","22844","375","210950","6289","1092","1236","4","0.23814098537420181326","22.7168537964259040","1.4626122654901398"
"2015-04-01","2015","4","270722","3834","54387","19022","188","177590","2056","393","456","7","0.06383745422114271618","22.1450367733257648","1.7655899774177228"
"2015-05-01","2015","5","134327","2111","24068","7201","113","87692","1073","197","174","2","0.13624158544509421702","19.6349119011939866","1.6784363368298932"
"2015-06-01","2015","6","35562","891","7514","2040","90","21783","398","76","75","0","0.01788230568387226351","19.0600068286804579","1.7763506728258686"
"2015-07-01","2015","7","11823","348","3399","529","28","5025","85","29","28","0","0.08034623469766291579","19.3301077221011862","1.6603655289276204"
"2015-08-01","2015","8","7655","267","1730","286","21","2154","336","50","110","0","0.02204691638289822172","20.9113147189349112","1.8055011094674556"
"2015-09-01","2015","9","7135","251","980","107","8","1333","91","13","23","0","0.19865040330513476294","22.5512433602203423","1.9483316938815660"
"2015-10-01","2015","10","9986","319","1037","199","5","1437","107","9","22","0","0.12184640975880232881","24.3293104877711759","2.3041626659135837"
"2015-11-01","2015","11","14257","425","1862","353","3","2521","208","38","53","0","0.34414634146341463415","23.9893107104984093","1.83581331232768806617"
"2015-12-01","2015","12","27485","630","3837","1107","31","6292","680","93","149","0","0.26736221262925409095","24.3804410525794142","1.8593540561031084"
"2016-01-01","2016","1","67640","1255","10608","3231","76","22212","9400","1625","2181","0","0.40192440060756378458","24.5630451250696968","2.2227817126889566"
"2016-02-01","2016","2","109111","1902","14625","3333","133","36183","16808","3302","4688","2","0.30304688284308804337","25.2010508483084028","1.5913696501004587"
"2016-03-01","2016","3","131763","1813","13099","4133","89","45744","29065","5369","7688","1","0.18457862174436926499","24.2880270735344729","1.6326629197826188"
"2016-04-01","2016","4","81158","1307","9537","4065","80","32747","23784","4669","6585","1","0.03982347950251433065","23.8924481001341082","1.4987180464086794"
"2016-05-01","2016","5","30578","713","4963","1979","23","12306","14302","3346","4780","0","0.12657880667236954662","19.2570895600926121","1.6994486308639355"
"2016-06-01","2016","6","8266","295","785","341","3","2169","4029","1025","1478","0","0.13718750000000000000","17.4147016351667021","1.5056556319862425"
"2016-07-01","2016","7","4309","196","277","184","0","788","2706","684","900","0","0.00453669384729429207","19.5663454410674574","1.8664390243902439"
"2016-08-01","2016","8","3984","186","170","32","0","366","2738","750","1041","0","0.08257653061224489796","19.2143103448275862","1.9799773139745917"
"2016-09-01","2016","9","4391","215","130","38","1","288","3250","916","1195","0","0.03392482833393567040","20.7195124593716143","2.1343734200072228"
"2016-10-01","2016","10","6338","288","149","58","1","364","4820","1368","1723","0","0.13353173680539409440","22.3460427807486631","2.3739000984251969"
